method,seed,fitness,utility,cost,feasible,shortage,over_maximum,overspend,evaluations,seconds,individual
repair_uniform,600019,-12469,12469,5056,True,0,0,0,14300,0.2076553750084713,"[16, 7, 1, 10, 15, 1, 15, 10, 15, 3, 3, 9, 4, 2, 1, 11, 9, 1, 12, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]"
penalty_uniform,610000,-12278,12278,5057,True,0,0,0,14300,0.13866900000721216,"[16, 7, 2, 10, 12, 1, 15, 10, 12, 3, 3, 9, 7, 2, 1, 5, 9, 1, 12, 11, 4, 7, 2, 1, 9, 3, 1, 3, 13, 6]"
penalty_uniform,610001,-12279,12279,5056,True,0,0,0,14300,0.14081391703803092,"[16, 7, 6, 10, 11, 1, 15, 7, 14, 2, 3, 8, 7, 2, 1, 7, 9, 1, 9, 11, 4, 5, 2, 1, 9, 4, 1, 3, 14, 2]"
penalty_uniform,610002,-12287,12287,5055,True,0,0,0,14300,0.13567079103086144,"[16, 7, 1, 10, 8, 1, 15, 4, 15, 4, 3, 9, 9, 4, 1, 6, 9, 2, 12, 11, 4, 4, 2, 2, 9, 3, 1, 3, 14, 6]"
penalty_uniform,610003,-12127,12127,5054,True,0,0,0,14300,0.13703270797850564,"[16, 7, 6, 10, 15, 1, 15, 5, 10, 2, 3, 8, 9, 6, 1, 3, 9, 4, 8, 11, 4, 5, 2, 1, 9, 3, 1, 3, 14, 2]"
penalty_uniform,610004,-12191,12191,5050,True,0,0,0,14300,0.13643158302875236,"[16, 7, 3, 10, 6, 1, 15, 7, 15, 3, 3, 8, 9, 3, 1, 2, 9, 2, 12, 11, 4, 8, 2, 1, 9, 4, 1, 3, 12, 1]"
penalty_uniform,610005,-12241,12241,5055,True,0,0,0,14300,0.13715891703031957,"[16, 7, 1, 10, 14, 1, 15, 2, 14, 6, 3, 9, 10, 4, 1, 6, 9, 1, 7, 11, 4, 6, 2, 1, 9, 3, 1, 3, 14, 8]"
penalty_uniform,610006,-12138,12138,5056,True,0,0,0,14300,0.1370164580293931,"[14, 7, 6, 10, 13, 1, 15, 3, 10, 3, 3, 9, 8, 2, 1, 8, 9, 1, 12, 11, 4, 5, 2, 1, 9, 3, 1, 3, 13, 4]"
penalty_uniform,610007,-12198,12198,5051,True,0,0,0,14300,0.13769012497505173,"[15, 7, 2, 10, 16, 2, 15, 9, 12, 3, 3, 9, 10, 4, 1, 5, 9, 1, 8, 11, 4, 5, 2, 1, 9, 3, 2, 3, 14, 2]"
penalty_uniform,610008,-12159,12159,5056,True,0,0,0,14300,0.13599887496093288,"[15, 7, 6, 10, 6, 1, 15, 7, 13, 6, 3, 9, 5, 3, 1, 4, 9, 5, 12, 11, 4, 5, 2, 1, 9, 3, 1, 3, 13, 2]"
penalty_uniform,610009,-12276,12276,5049,True,0,0,0,14300,0.13593966700136662,"[16, 7, 4, 10, 5, 1, 15, 9, 15, 7, 3, 9, 5, 5, 1, 9, 9, 1, 11, 11, 4, 4, 2, 1, 9, 3, 1, 3, 13, 5]"
penalty_uniform,610010,-12368,12368,5057,True,0,0,0,14300,0.13836300000548363,"[16, 7, 4, 10, 15, 1, 15, 6, 13, 11, 3, 9, 4, 2, 1, 6, 9, 1, 12, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]"
penalty_uniform,610011,-12153,12153,5050,True,0,0,0,14300,0.13822629203787073,"[15, 7, 1, 10, 16, 1, 15, 2, 14, 3, 3, 7, 10, 4, 1, 9, 6, 1, 11, 11, 4, 4, 2, 1, 8, 3, 1, 3, 14, 8]"
penalty_uniform,610012,-12192,12192,5055,True,0,0,0,14300,0.13688787497812882,"[15, 7, 6, 10, 13, 1, 15, 9, 15, 1, 3, 9, 9, 5, 1, 8, 5, 1, 7, 11, 4, 5, 2, 1, 8, 3, 1, 3, 14, 1]"
penalty_uniform,610013,-12240,12240,5056,True,0,0,0,14300,0.13720875000581145,"[15, 7, 3, 10, 15, 1, 15, 6, 13, 8, 3, 8, 7, 3, 1, 9, 9, 1, 10, 11, 4, 4, 2, 1, 8, 3, 1, 3, 13, 1]"
penalty_uniform,610014,-12188,12188,5048,True,0,0,0,14300,0.1377972920308821,"[16, 7, 5, 10, 15, 1, 15, 10, 14, 3, 3, 8, 7, 2, 1, 6, 8, 1, 5, 11, 8, 4, 2, 1, 9, 3, 1, 3, 14, 7]"
penalty_uniform,610015,-12190,12190,5054,True,0,0,0,14300,0.13691287499386817,"[15, 7, 4, 10, 10, 1, 15, 9, 14, 10, 3, 9, 5, 2, 1, 9, 9, 1, 11, 11, 4, 4, 2, 1, 5, 3, 1, 3, 12, 5]"
penalty_uniform,610016,-12238,12238,5053,True,0,0,0,14300,0.1376848749932833,"[15, 7, 2, 10, 15, 1, 15, 6, 15, 8, 3, 8, 5, 2, 1, 3, 9, 2, 10, 11, 4, 5, 2, 1, 9, 3, 1, 6, 14, 1]"
penalty_uniform,610017,-12196,12196,5052,True,0,0,0,14300,0.13653583399718627,"[16, 7, 1, 10, 15, 1, 15, 6, 10, 6, 3, 9, 7, 3, 1, 5, 9, 1, 11, 11, 4, 10, 2, 1, 8, 3, 1, 3, 14, 1]"
penalty_uniform,610018,-12327,12327,5049,True,0,0,0,14300,0.13754279201384634,"[16, 7, 1, 10, 11, 1, 15, 10, 15, 10, 3, 9, 6, 8, 1, 3, 9, 1, 11, 11, 4, 4, 2, 1, 9, 3, 2, 3, 14, 4]"
penalty_uniform,610019,-12010,12010,5051,True,0,0,0,14300,0.13694387499708682,"[16, 7, 2, 10, 14, 1, 15, 8, 9, 1, 3, 7, 9, 10, 1, 3, 9, 1, 8, 11, 4, 9, 2, 1, 9, 5, 1, 3, 14, 5]"
repair_one_point,620000,-12468,12468,5056,True,0,0,0,14300,0.19391416700091213,"[16, 7, 1, 10, 16, 1, 15, 10, 15, 1, 3, 9, 6, 2, 1, 10, 9, 1, 11, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]"
repair_one_point,620001,-12468,12468,5048,True,0,0,0,14300,0.19528329197783023,"[16, 7, 1, 10, 16, 1, 15, 10, 15, 1, 3, 9, 5, 2, 1, 10, 9, 1, 12, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]"
repair_one_point,620002,-12473,12473,5055,True,0,0,0,14300,0.1944790409761481,"[16, 7, 1, 10, 16, 1, 15, 9, 15, 1, 3, 9, 7, 2, 1, 8, 9, 1, 12, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]"
repair_one_point,620003,-12466,12466,5057,True,0,0,0,14300,0.1937792079988867,"[16, 7, 1, 10, 14, 1, 15, 10, 15, 1, 3, 9, 4, 2, 1, 13, 9, 1, 12, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]"
repair_one_point,620004,-12444,12444,5054,True,0,0,0,14300,0.19409887498477474,"[16, 7, 1, 10, 16, 1, 15, 5, 15, 1, 3, 9, 10, 2, 1, 6, 9, 1, 12, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]"
repair_one_point,620005,-12468,12468,5048,True,0,0,0,14300,0.1936379160033539,"[16, 7, 1, 10, 16, 1, 15, 10, 15, 1, 3, 9, 5, 2, 1, 10, 9, 1, 12, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]"
repair_one_point,620006,-12468,12468,5056,True,0,0,0,14300,0.1952664169948548,"[16, 7, 1, 10, 16, 1, 15, 10, 15, 1, 3, 9, 6, 2, 1, 10, 9, 1, 11, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]"
repair_one_point,620007,-12466,12466,5057,True,0,0,0,14300,0.19273233303101733,"[16, 7, 1, 10, 14, 1, 15, 10, 15, 1, 3, 9, 4, 2, 1, 13, 9, 1, 12, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]"
repair_one_point,620008,-12473,12473,5055,True,0,0,0,14300,0.19340766704408452,"[16, 7, 1, 10, 16, 1, 15, 9, 15, 1, 3, 9, 7, 2, 1, 8, 9, 1, 12, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]"
repair_one_point,620009,-12473,12473,5051,True,0,0,0,14300,0.1945277500199154,"[16, 7, 1, 10, 16, 1, 15, 10, 15, 1, 3, 9, 8, 2, 1, 6, 9, 1, 12, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]"
repair_one_point,620010,-12461,12461,5056,True,0,0,0,14300,0.19289150001714006,"[16, 7, 1, 10, 16, 1, 15, 7, 15, 1, 3, 9, 10, 2, 1, 5, 9, 1, 12, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]"
repair_one_point,620011,-12473,12473,5051,True,0,0,0,14300,0.1942804169957526,"[16, 7, 1, 10, 16, 1, 15, 10, 15, 1, 3, 9, 8, 2, 1, 6, 9, 1, 12, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]"
repair_one_point,620012,-12468,12468,5048,True,0,0,0,14300,0.19358441600343212,"[16, 7, 1, 10, 16, 1, 15, 10, 15, 1, 3, 9, 5, 2, 1, 10, 9, 1, 12, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]"
repair_one_point,620013,-12466,12466,5057,True,0,0,0,14300,0.19358829100383446,"[16, 7, 1, 10, 14, 1, 15, 10, 15, 1, 3, 9, 4, 2, 1, 13, 9, 1, 12, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]"
repair_one_point,620014,-12468,12468,5048,True,0,0,0,14300,0.19464533298742026,"[16, 7, 1, 10, 16, 1, 15, 10, 15, 1, 3, 9, 5, 2, 1, 10, 9, 1, 12, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]"
repair_one_point,620015,-12469,12469,5057,True,0,0,0,14300,0.19423145800828934,"[16, 7, 1, 10, 16, 1, 15, 10, 15, 1, 3, 9, 7, 2, 1, 8, 9, 1, 12, 11, 4, 4, 2, 1, 8, 3, 1, 3, 14, 1]"
repair_one_point,620016,-12466,12466,5057,True,0,0,0,14300,0.19442141702165827,"[16, 7, 1, 10, 14, 1, 15, 10, 15, 1, 3, 9, 4, 2, 1, 13, 9, 1, 12, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]"
repair_one_point,620017,-12461,12461,5049,True,0,0,0,14300,0.19396091700764373,"[16, 7, 1, 10, 15, 1, 15, 10, 15, 1, 3, 9, 7, 2, 1, 8, 9, 1, 12, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]"
repair_one_point,620018,-12473,12473,5055,True,0,0,0,14300,0.19245020800735801,"[16, 7, 1, 10, 16, 1, 15, 9, 15, 1, 3, 9, 7, 2, 1, 8, 9, 1, 12, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]"
repair_one_point,620019,-12477,12477,5054,True,0,0,0,14300,0.1942823330173269,"[16, 7, 2, 10, 16, 1, 15, 10, 15, 1, 3, 9, 10, 2, 1, 2, 9, 1, 12, 11, 4, 4, 2, 1, 9, 3, 1, 3, 14, 1]"
random_feasible_search,900000,-11167,11167,5057,True,0,0,0,14300,0.22479329199995846,"[10, 7, 1, 9, 10, 3, 14, 6, 8, 1, 4, 9, 4, 3, 2, 2, 7, 3, 11, 11, 4, 9, 2, 4, 7, 3, 5, 9, 14, 2]"
random_feasible_search,900001,-11147,11147,5016,True,0,0,0,14300,0.22508937498787418,"[15, 5, 1, 8, 14, 1, 15, 6, 11, 9, 3, 5, 5, 5, 2, 13, 2, 1, 9, 8, 7, 5, 2, 2, 7, 3, 1, 4, 12, 14]"
random_feasible_search,900002,-11108,11108,5041,True,0,0,0,14300,0.22432145796483383,"[14, 5, 1, 9, 14, 1, 9, 9, 7, 3, 3, 5, 4, 5, 2, 5, 9, 6, 10, 10, 4, 12, 2, 1, 7, 4, 3, 3, 14, 2]"
random_feasible_search,900003,-11187,11187,5057,True,0,0,0,14300,0.22393483301857486,"[13, 5, 1, 10, 5, 4, 15, 4, 13, 11, 3, 2, 6, 2, 1, 6, 4, 1, 10, 11, 6, 5, 2, 1, 8, 12, 7, 3, 14, 2]"
random_feasible_search,900004,-11027,11027,5042,True,0,0,0,14300,0.2239270830177702,"[16, 3, 1, 8, 5, 1, 15, 2, 13, 5, 3, 2, 5, 7, 1, 5, 5, 6, 11, 9, 5, 10, 4, 1, 6, 3, 3, 6, 14, 1]"
random_feasible_search,900005,-10937,10937,5040,True,0,0,0,14300,0.2241771670524031,"[10, 6, 2, 9, 14, 2, 13, 7, 13, 10, 3, 8, 9, 2, 2, 7, 8, 3, 3, 10, 5, 6, 2, 5, 8, 3, 1, 4, 1, 10]"
random_feasible_search,900006,-10992,10992,5031,True,0,0,0,14300,0.24754883401328698,"[9, 7, 5, 7, 15, 2, 13, 2, 8, 4, 3, 5, 4, 3, 1, 9, 8, 3, 4, 11, 8, 8, 3, 1, 6, 7, 1, 4, 14, 14]"
random_feasible_search,900007,-11000,11000,5023,True,0,0,0,14300,0.22696383303264156,"[13, 5, 1, 10, 8, 1, 14, 2, 14, 3, 5, 8, 10, 5, 1, 2, 2, 4, 5, 11, 4, 5, 2, 8, 5, 5, 1, 8, 13, 3]"
random_feasible_search,900008,-11091,11091,5045,True,0,0,0,14300,0.2269612499512732,"[15, 5, 1, 8, 13, 2, 13, 10, 14, 6, 3, 5, 5, 2, 4, 7, 7, 3, 5, 10, 6, 4, 2, 1, 6, 8, 4, 4, 11, 4]"
random_feasible_search,900009,-11073,11073,5044,True,0,0,0,14300,0.22446770797250792,"[12, 7, 2, 8, 16, 2, 15, 2, 11, 3, 3, 4, 4, 5, 1, 4, 6, 3, 8, 11, 8, 4, 5, 6, 5, 9, 1, 3, 14, 5]"
random_feasible_search,900010,-11344,11344,5029,True,0,0,0,14300,0.2248750000144355,"[14, 7, 5, 6, 2, 2, 13, 4, 14, 3, 4, 3, 7, 4, 1, 11, 9, 4, 5, 11, 5, 11, 2, 1, 5, 3, 1, 3, 14, 4]"
random_feasible_search,900011,-11091,11091,5043,True,0,0,0,14300,0.22356387495528907,"[11, 7, 1, 10, 14, 1, 14, 7, 10, 7, 4, 9, 8, 8, 1, 8, 9, 2, 5, 7, 4, 6, 2, 3, 4, 4, 9, 3, 11, 1]"
random_feasible_search,900012,-11119,11119,5041,True,0,0,0,14300,0.224363999965135,"[4, 5, 4, 9, 13, 1, 15, 9, 12, 6, 3, 9, 9, 2, 2, 2, 8, 1, 6, 11, 5, 4, 2, 8, 5, 3, 5, 4, 12, 11]"
random_feasible_search,900013,-11076,11076,5041,True,0,0,0,14300,0.22317100001964718,"[5, 5, 2, 7, 14, 2, 13, 2, 15, 1, 5, 5, 5, 2, 1, 11, 7, 2, 10, 11, 4, 6, 2, 7, 9, 3, 1, 4, 14, 3]"
random_feasible_search,900014,-10964,10964,5012,True,0,0,0,14300,0.22386824997374788,"[11, 5, 4, 8, 8, 4, 15, 3, 11, 6, 4, 5, 7, 2, 1, 9, 5, 6, 10, 10, 5, 5, 2, 1, 9, 6, 2, 3, 9, 1]"
random_feasible_search,900015,-10977,10977,5052,True,0,0,0,14300,0.23639325000112876,"[11, 7, 1, 7, 15, 1, 15, 5, 11, 2, 3, 5, 4, 5, 1, 6, 8, 6, 2, 10, 8, 4, 2, 3, 5, 13, 2, 8, 12, 1]"
random_feasible_search,900016,-10914,10914,5053,True,0,0,0,14300,0.22391662502195686,"[10, 5, 1, 6, 7, 1, 14, 2, 14, 6, 3, 3, 8, 2, 2, 4, 7, 1, 10, 10, 5, 9, 2, 2, 6, 8, 4, 5, 11, 13]"
random_feasible_search,900017,-10918,10918,5047,True,0,0,0,14300,0.22620687499875203,"[12, 7, 1, 10, 11, 4, 14, 8, 4, 1, 4, 7, 5, 2, 1, 7, 8, 5, 3, 11, 8, 11, 3, 1, 4, 10, 1, 3, 13, 10]"
random_feasible_search,900018,-10861,10861,5023,True,0,0,0,14300,0.2231288340408355,"[13, 6, 1, 9, 10, 2, 14, 5, 15, 3, 5, 9, 6, 2, 2, 2, 2, 2, 7, 9, 4, 12, 2, 2, 5, 5, 9, 4, 10, 4]"
random_feasible_search,900019,-10956,10956,5056,True,0,0,0,14300,0.22558833402581513,"[16, 7, 1, 10, 5, 1, 13, 10, 1, 1, 3, 8, 5, 2, 1, 7, 9, 3, 11, 10, 5, 8, 5, 4, 6, 3, 6, 9, 11, 1]"
